omega,Q,ki,kf,Ei,Ef,theta,Is,Im,T_self
-12.49999999999961,0.5,5.8,6.298632036112131,69.70269243254256,82.20269243254216,0.006115100859638338,3.9169868139416955e-12,3.0281182039021194e-11,0.7286767461942012
-12.399999999999608,0.5,5.8,6.294799711041436,69.70269243254256,82.10269243254217,0.011903623237913465,4.0154765265713295e-12,3.1488207068847527e-11,0.7279554326921459
-12.299999999999606,0.5,5.8,6.290965051398445,69.70269243254256,82.00269243254218,0.01566476267783872,4.12593878431129e-12,3.1274342240217617e-11,0.7299647460618215
-12.199999999999605,0.5,5.8,6.287128052911434,69.70269243254256,81.90269243254217,0.018667021421618104,4.1660664257977674e-12,3.080132819180132e-11,0.7283032322970495
-12.099999999999604,0.5,5.8,6.28328871129564,69.70269243254256,81.80269243254216,0.02123470112185452,4.260075189835565e-12,3.203758876886485e-11,0.7282907587218179
-11.999999999999602,0.5,5.8,6.279447022253195,69.70269243254256,81.70269243254216,0.023510569881577487,4.338228095319929e-12,3.0263007970502725e-11,0.7285564693373341
-11.8999999999996,0.5,5.8,6.27560298147308,69.70269243254256,81.60269243254217,0.025572609338014276,4.427040953470044e-12,3.212386554376739e-11,0.7283765620361852
-11.7999999999996,0.5,5.8,6.2717565846310634,69.70269243254256,81.50269243254216,0.027468972377354496,4.5672586182990204e-12,3.420812888620163e-11,0.7299503428452523
-11.699999999999598,0.5,5.8,6.267907827389646,69.70269243254256,81.40269243254215,0.02923187858098845,4.685432930715979e-12,3.10766763618121e-11,0.7283110270360724
-11.599999999999596,0.5,5.8,6.264056705398004,69.70269243254256,81.30269243254216,0.03088415008753796,4.695066192736752e-12,3.231653003527116e-11,0.7294819636339176
-11.499999999999595,0.5,5.8,6.260203214291928,69.70269243254256,81.20269243254216,0.03244265661757774,4.825156381367305e-12,3.3773402383790436e-11,0.7270166871759862
-11.399999999999594,0.5,5.8,6.256347349693771,69.70269243254256,81.10269243254216,0.03392028833046622,4.920343503324368e-12,3.2167055750715646e-11,0.7279221947154474
-11.299999999999592,0.5,5.8,6.252489107212388,69.70269243254256,81.00269243254215,0.03532715953598149,5.022952478196736e-12,3.4045302390937193e-11,0.7281351505967734
-11.19999999999959,0.5,5.8,6.248628482443076,69.70269243254256,80.90269243254215,0.03667138089033415,5.214082820190005e-12,3.531742908100716e-11,0.7276365127840195
-11.09999999999959,0.5,5.8,6.2447654709675176,69.70269243254256,80.80269243254216,0.03795957536597825,5.302216382427106e-12,3.2385942444196125e-11,0.7284060444213067
-10.999999999999588,0.5,5.8,6.240900068353718,69.70269243254256,80.70269243254215,0.039197234861981005,5.3496051867057175e-12,3.32280521220838e-11,0.7287320981616081
-10.899999999999586,0.5,5.8,6.237032270155954,69.70269243254256,80.60269243254214,0.04038897379811288,5.5455097785693455e-12,3.4610107662292854e-11,0.7285991214613179
-10.799999999999585,0.5,5.8,6.233162071914706,69.70269243254256,80.50269243254215,0.041538713900583946,5.589458880714476e-12,3.743246309747406e-11,0.7275319102772486
-10.699999999999584,0.5,5.8,6.229289469156601,69.70269243254256,80.40269243254215,0.04264982171935928,5.7342577987763646e-12,3.256969871263495e-11,0.7269522666348438
-10.599999999999582,0.5,5.8,6.225414457394352,69.70269243254256,80.30269243254214,0.043725212872365776,5.928947461676577e-12,3.582832007730539e-11,0.7279029315143998
-10.49999999999958,0.5,5.8,6.2215370321267,69.70269243254256,80.20269243254214,0.04476743236233168,5.980415161126972e-12,3.6430209768193925e-11,0.7286870181828863
-10.39999999999958,0.5,5.8,6.21765718883835,69.70269243254256,80.10269243254214,0.04577871735862482,6.128881699793306e-12,3.543723888543574e-11,0.7281378603727436
-10.299999999999578,0.5,5.8,6.2137749229999075,69.70269243254256,80.00269243254215,0.04676104691040383,6.310020391725335e-12,3.72628361233232e-11,0.7264945674696126
-10.199999999999577,0.5,5.8,6.209890230067822,69.70269243254256,79.90269243254214,0.047716181771930814,6.414505711459238e-12,3.3833541737970834e-11,0.7280881165268304
-10.099999999999575,0.5,5.8,6.206003105484325,69.70269243254256,79.80269243254213,0.048645696644030935,6.54389197591405e-12,3.709628758893228e-11,0.7282735094210305
-9.999999999999574,0.5,5.8,6.202113544677361,69.70269243254256,79.70269243254214,0.04955100652664439,6.798902440965867e-12,3.648156014736375e-11,0.7290566219146314
-9.899999999999572,0.5,5.8,6.198221543060532,69.70269243254256,79.60269243254214,0.05043338844706311,6.87349451690574e-12,3.6876662508466286e-11,0.7274756522629366
-9.79999999999957,0.5,5.8,6.194327096033029,69.70269243254256,79.50269243254213,0.0512939995192874,7.066735243687e-12,3.7150450530433526e-11,0.7276816878176812
-9.69999999999957,0.5,5.8,6.190430198979572,69.70269243254256,79.40269243254212,0.052133892064899164,7.18860755090017e-12,3.7272971219511323e-11,0.7290523255631959
-9.599999999999568,0.5,5.8,6.186530847270347,69.70269243254256,79.30269243254213,0.05295402636010402,7.533754214302907e-12,3.736023366514143e-11,0.7265076673808125
-9.499999999999567,0.5,5.8,6.182629036260938,69.70269243254256,79.20269243254214,0.053755281449339186,7.68803557079542e-12,3.690885002419258e-11,0.7281492644050888
-9.399999999999565,0.5,5.8,6.178724761292264,69.70269243254256,79.10269243254213,0.05453846437265216,7.900767658848367e-12,3.8791429645627135e-11,0.7273867273469258
-9.299999999999564,0.5,5.8,6.174818017690517,69.70269243254256,79.00269243254212,0.05530431808240965,8.092188509067402e-12,3.755063660309724e-11,0.7285431033137479
-9.199999999999562,0.5,5.8,6.170908800767091,69.70269243254256,78.90269243254212,0.05605352827016135,8.28696728587671e-12,3.9841608718667653e-11,0.728063485212352
-9.09999999999956,0.5,5.8,6.166997105818522,69.70269243254256,78.80269243254213,0.056786729281751394,8.361611245078728e-12,3.89835585083056e-11,0.7280981209627989
-8.99999999999956,0.5,5.8,6.1630829281264194,69.70269243254256,78.70269243254212,0.057504509265342695,8.725605343665748e-12,3.900669596899639e-11,0.7268394148620406
-8.899999999999558,0.5,5.8,6.159166262957399,69.70269243254256,78.60269243254211,0.05820741467058318,8.97149751382095e-12,3.9143881247301623e-11,0.7266622194431771
-8.799999999999557,0.5,5.8,6.155247105563017,69.70269243254256,78.50269243254212,0.05889595419631955,9.023619883704484e-12,4.0649946200272554e-11,0.7296461248128573
-8.699999999999555,0.5,5.8,6.151325451179705,69.70269243254256,78.40269243254212,0.05957060226723087,9.311170997478718e-12,4.23946325266996e-11,0.7267146293959403
-8.599999999999554,0.5,5.8,6.147401295028696,69.70269243254256,78.30269243254212,0.060231802106409875,9.557601498694989e-12,4.067385936348249e-11,0.726970521902655
-8.499999999999552,0.5,5.8,6.143474632315965,69.70269243254256,78.20269243254211,0.06087996845990382,9.77574850660569e-12,4.024638848023714e-11,0.7282041888424667
-8.399999999999551,0.5,5.8,6.1395454582321545,69.70269243254256,78.10269243254211,0.06151549002013478,1.0207473335864005e-11,4.114562478892156e-11,0.72803253765017
-8.29999999999955,0.5,5.8,6.135613767952508,69.70269243254256,78.00269243254212,0.06213873158803779,1.0518405584028023e-11,4.0572196953527594e-11,0.7274271406191315
-8.199999999999548,0.5,5.8,6.1316795566368,69.70269243254256,77.90269243254211,0.06275003600746266,1.0662941537292332e-11,4.085760279708866e-11,0.7264361771572083
-8.099999999999547,0.5,5.8,6.127742819429268,69.70269243254256,77.8026924325421,0.06334972590051681,1.1016384951868929e-11,4.202101065633173e-11,0.7259332739174849
-7.999999999999545,0.5,5.8,6.123803551458542,69.70269243254256,77.70269243254211,0.06393810522830083,1.1308801384851608e-11,4.249915003351947e-11,0.7267436490810238
-7.899999999999544,0.5,5.8,6.1198617478375725,69.70269243254256,77.60269243254211,0.06451546069808221,1.1781016280630379e-11,4.1679314947412087e-11,0.7264041762378834
-7.799999999999542,0.5,5.8,6.115917403663562,69.70269243254256,77.5026924325421,0.06508206303488741,1.217046733457919e-11,4.345009945124837e-11,0.726515725059792
-7.699999999999541,0.5,5.8,6.111970514017892,69.70269243254256,77.4026924325421,0.06563816813321567,1.2340779919130255e-11,4.2419644242011794e-11,0.7265618955028446
-7.59999999999954,0.5,5.8,6.108021073966054,69.70269243254256,77.3026924325421,0.06618401810232517,1.2832243434134723e-11,4.300855486831869e-11,0.7277742059949247
-7.499999999999538,0.5,5.8,6.1040690785575755,69.70269243254256,77.20269243254211,0.06671984221684639,1.3095721857347258e-11,4.4491139999229215e-11,0.726716327152024
-7.399999999999537,0.5,5.8,6.100114522825945,69.70269243254256,77.1026924325421,0.06724585778305027,1.3455150913355721e-11,4.1524250494387577e-11,0.7272593588165022
-7.299999999999535,0.5,5.8,6.096157401788549,69.70269243254256,77.00269243254209,0.06776227092960026,1.4085118396703832e-11,4.408778823286786e-11,0.7267241545178407
