Q,omega,I,dI,Tr,Ki,Kf,Im,I-Im,S,dS
0.5,-10.495,0.00378,0.0008495063721795483,0.85,5.345548621431332,5.8,0.001563270904676551,0.002538085485966398,0.003198277423231215,0.0011614813404312568
0.5,-9.9807,0.0036244444444444445,0.0007923709468741079,0.85,5.368715132031321,5.8,0.0016079594150777792,0.0023076474407145347,0.0029236299242841085,0.0010845238722144367
0.5,-9.4902,0.004271111111111111,0.0007431786629924304,0.85,5.390716825075825,5.8,0.00165450447854534,0.0029408851975013138,0.003745806859000199,0.0010184554022837284
0.5,-8.9934,0.003581111111111111,0.0006586635552882368,0.85,5.412909949485062,5.8,0.0017053855872909193,0.0021318192874032115,0.002719650881697278,0.0009003753489509738
0.5,-8.4901,0.004807777777777777,0.0007098431747958576,0.85,5.43530103972051,5.8,0.0017589961942352861,0.0033713748574010728,0.004331748922489564,0.0009732469108481832
0.5,-7.9804,0.004922222222222222,0.0006866996409726117,0.85,5.457883237986026,5.8,0.0018137002209462063,0.0034170618976335793,0.004399994147414683,0.0009396580235339126
0.5,-7.4965,0.005935555555555555,0.0006135813004533352,0.85,5.479236247739681,5.8,0.0018661362808018481,0.00441689673067377,0.005718682621430801,0.0008409280363428839
0.5,-6.9738,0.004808888888888889,0.0007333615783424708,0.85,5.502208282298462,5.8,0.001925713452240302,0.003143443170799109,0.0040866574358047825,0.001005013143569911
0.5,-6.4775,0.0055922222222222215,0.0006880732664063122,0.85,5.523931652749835,5.8,0.0019888226801532388,0.0038828808324604036,0.005067374926707084,0.0009428516336595135
0.5,-5.9751,0.004871111111111111,0.0006803782221141535,0.85,5.545835357841605,5.8,0.0020631750397989497,0.003031178221968285,0.00396199665143565,0.0009300666190946256
0.5,-5.5006,0.007268888888888889,0.0006771886544253191,0.85,5.566443532064787,5.8,0.002145001851960645,0.005428874594050316,0.007154680488993568,0.0009299086626562282
0.5,-4.986,0.006418888888888889,0.0007765851361456606,0.85,5.588707407518683,5.8,0.0022466467018786873,0.004414921500004512,0.005830473454037875,0.001064355064002528
0.5,-4.5,0.007173333333333333,0.0007573321337571538,0.85,5.609652788766719,5.8,0.0023558908230203795,0.005060848661577962,0.006711830809931533,0.0010384750016913349
0.5,-3.9729,0.006941111111111111,0.0008230167922241361,0.85,5.632281426494318,5.8,0.002498876769338852,0.004648927361162909,0.006190760923314569,0.001128609275289007
0.5,-3.4749,0.007009999999999999,0.0009357839572040577,0.85,5.653577579356471,5.8,0.0026836602481652115,0.004507892256298337,0.006021537584339083,0.0012823722370256371
0.5,-2.9711,0.00938888888888889,0.0009996458662603867,0.85,5.675040442814105,5.8,0.0029749640620696342,0.00662066016374689,0.008877302716733749,0.00136988761881569
0.5,-2.4979,0.011872222222222222,0.0010669916426149378,0.85,5.695126021374836,5.8,0.003429467646979348,0.008661377863804616,0.011653524271107244,0.0014620289494171393
0.5,-1.9825,0.01858111111111111,0.001385508024211615,0.85,5.716922545174349,5.8,0.004260845610331054,0.014590283400575945,0.019738232780941327,0.0019016004409801728
0.5,-1.4984,0.04317111111111111,0.002014273008275534,0.85,5.737319960645979,5.8,0.005434342528618289,0.03820841160780121,0.05183679307349744,0.0027625897638566908
0.5,-0.971,0.09592888888888888,0.003014865037620372,0.85,5.759459590440239,5.8,0.006970708731919029,0.08963341650216855,0.12215207898592116,0.004137567061966088
0.5,-0.4756,0.16993222222222223,0.003792051418060552,0.85,5.780178659631022,5.8,0.008139430724687282,0.1623755216542769,0.22199293405420012,0.005202110114024694
0.5,0.0254,0.20579444444444445,0.003980977919784084,0.85,5.801056677843229,5.8,0.008465114204506127,0.19729184423664953,0.27081706063067357,0.005463582952563745
0.5,0.532,0.19676444444444444,0.0038566487902223323,0.85,5.8220919351038205,5.8,0.007763289613962141,0.18825453190081046,0.25928903063062697,0.0052917306444722765
0.5,1.0047,0.1340888888888889,0.0032019755019551286,0.85,5.841651270141428,5.8,0.006546105894193764,0.12658672240911692,0.17532820099226384,0.00440325657762011
0.5,1.5223,0.06652666666666666,0.002323444796882623,0.85,5.8629936309755255,5.8,0.005196309958723069,0.06061557573532049,0.08398380505226268,0.0031845805802681497
0.5,2.0054,0.03245000000000001,0.0015645130837255814,0.85,5.882843584434443,5.8,0.004256424701290583,0.027736606780625644,0.038575851259217045,0.0021452705977350207
0.5,2.5345,0.01418,0.001130411224730372,0.85,5.904507052931712,5.8,0.0036239528667445153,0.010305067670061199,0.014418045273460498,0.0015535897457334368
0.5,3.0283,0.009258888888888888,0.0008361976972212161,0.85,5.9246537373481,5.8,0.0032896843561912893,0.0057743990377510865,0.008103598904243453,0.0011488018654902399
0.5,3.5273,0.009033333333333332,0.0008512964542071791,0.85,5.944943221535781,5.8,0.0030947134261771732,0.005718378874441695,0.008039728228725007,0.0011676953447253926
0.5,4.0316,0.008369999999999999,0.0008028023508688086,0.85,5.965378093606374,5.8,0.002980128306077334,0.005157830300776281,0.0072922637181736995,0.0011035549700960613
0.5,4.4987,0.007874444444444444,0.0007800527261903512,0.85,5.984243325756985,5.8,0.0029172755931073093,0.0047147298738496116,0.00669266012861763,0.0010732098848321376
0.5,5.0134,0.007239999999999999,0.0009192342544533934,0.85,6.004962392486695,5.8,0.002872867183537361,0.004120015911374218,0.005867937310401503,0.0012645338910307745
0.5,5.5336,0.007730000000000001,0.000801063787428534,0.85,6.02583047432664,5.8,0.002836722013533712,0.004603580230450343,0.006574365518510102,0.0011011242153472717
0.5,6.0155,0.008477777777777777,0.0008309610664900186,0.85,6.045097855444113,5.8,0.002804993278745805,0.0053290538925218085,0.0076324377862699005,0.0011418748162948247
0.5,6.5021,0.008418888888888889,0.0008521960841302467,0.85,6.064491040335067,5.8,0.002776580215838571,0.00527513512693118,0.007581270072887625,0.0011713361539545774
0.5,6.9936,0.0067800000000000004,0.0008341551225630696,0.85,6.084016758589668,5.8,0.002755293554984826,0.003708199489224946,0.005346490691654774,0.0011465424487141513
0.5,7.5354,0.007188888888888889,0.0008338832770506015,0.85,6.105468377428019,5.8,0.002740502012325315,0.004088712878002258,0.005912288801227846,0.0011454688879722764
0.5,8.0372,0.0062855555555555555,0.0008736908517264894,0.85,6.125269255066495,5.8,0.0027301407336311114,0.003221633907470189,0.004670672715890038,0.0011993994532460883
0.5,8.4978,0.00623,0.0008717309037186933,0.85,6.143388217521124,5.8,0.002719452771970377,0.00316231779511584,0.004604925419776913,0.0011984490196251948
0.5,9.0093,0.005469999999999999,0.0008721962769165387,0.85,6.163447051489542,5.8,0.0027053453879076245,0.0024420988482414733,0.0035606289566199024,0.001196691023163876
0.5,9.526,0.005494444444444444,0.000813336945271506,0.85,6.183643743967778,5.8,0.002690106210857486,0.002463453582891174,0.003608325183034459,0.0011174171145916167
0.5,10.0003,0.007592222222222222,0.0007723978975033556,0.85,6.202125217007733,5.8,0.0026761214710429855,0.0044238462574599045,0.006494717607713833,0.0010604465743036349
