Q,omega,I,dI,Tr,Kf,Ki
1.5,-8.1008,0.003673333333333333,0.0005761429863677426,0.85,4.9,4.483344938986866
1.5,-7.7819,0.005321111111111111,0.0005867098048113125,0.85,4.9,4.500476614320652
1.5,-7.4975,0.00467,0.000652422834943379,0.85,4.9,4.515700082744904
1.5,-7.1908,0.0050999999999999995,0.0006042810236599818,0.85,4.9,4.532059925933964
1.5,-6.8808,0.004534444444444444,0.0006699023330325616,0.85,4.9,4.548536001540468
1.5,-6.5871,0.005852222222222222,0.0006359080219227298,0.85,4.9,4.564090886049115
1.5,-6.2903,0.006121111111111111,0.0006554265409771593,0.85,4.9,4.5797562818095425
1.5,-5.9904,0.005926666666666667,0.0006984055915944333,0.85,4.9,4.595531058678842
1.5,-5.6874,0.006131111111111111,0.0008109497556401627,0.85,4.9,4.611414094140789
1.5,-5.3812,0.007074444444444445,0.0006872264888037861,0.85,4.9,4.627409488252957
1.5,-5.0926,0.008436666666666667,0.0007156685556048145,0.85,4.9,4.642435035888558
1.5,-4.7801,0.009073333333333334,0.000741699749574259,0.85,4.9,4.6586502552353135
1.5,-4.4855,0.01020777777777778,0.0008290147357548993,0.85,4.9,4.673885152475271
1.5,-4.188,0.010593333333333335,0.0008643087582742812,0.85,4.9,4.68921978990702
1.5,-3.8875,0.010786666666666667,0.0008096730021251606,0.85,4.9,4.704658321420251
1.5,-3.584,0.01241111111111111,0.0008546445366060776,0.85,4.9,4.720199727584449
1.5,-3.2995,0.011565555555555555,0.000855601008893604,0.85,4.9,4.734721872683522
1.5,-2.9901,0.017125555555555557,0.0010177468457211296,0.85,4.9,4.750464632430778
1.5,-2.7,0.019034444444444444,0.0011199663795659334,0.85,4.9,4.765178133743894
1.5,-2.3846,0.024426666666666666,0.0012310760123356104,0.85,4.9,4.781123443927328
1.5,-2.0889,0.03059,0.00137706209010342,0.85,4.9,4.796024654582435
1.5,-1.7903,0.03975888888888889,0.0015277850504877403,0.85,4.9,4.81102517040347
1.5,-1.4889,0.04469111111111111,0.0016717441176991557,0.85,4.9,4.826119065318095
1.5,-1.1847,0.06986555555555556,0.0020867166601513214,0.85,4.9,4.841305465933313
1.5,-0.8776,0.18184222222222224,0.003395407210255758,0.85,4.9,4.856588473190501
1.5,-0.5914,0.38218222222222226,0.004809281663976107,0.85,4.9,4.870788211102788
1.5,-0.2786,0.6768433333333334,0.006353014740758619,0.85,4.9,4.886260504920811
1.5,0.0128,0.8058077777777779,0.006936747467804978,0.85,4.9,4.900630321897274
1.5,0.3068,0.7426911111111112,0.006661782840747959,0.85,4.9,4.9150857771842045
1.5,0.6035,0.5142466666666667,0.005549627948824171,0.85,4.9,4.929631012521283
1.5,0.9028,0.2725488888888889,0.003970564533671426,0.85,4.9,4.944260354934221
1.5,1.2048,0.10969555555555556,0.002570118410107851,0.85,4.9,4.958977926195133
1.5,1.5095,0.04278333333333333,0.0016153901030974483,0.85,4.9,4.973782943088752
1.5,1.8169,0.024044444444444445,0.0011906404542757754,0.85,4.9,4.988674627071234
1.5,2.1012,0.021697777777777778,0.0012002633455893885,0.85,4.9,5.002407795643549
1.5,2.4141,0.019095555555555557,0.0010713635018453913,0.85,4.9,5.017479042364866
1.5,2.7033,0.014893333333333335,0.0010133260233654467,0.85,4.9,5.0313686014630274
1.5,3.0217,0.014733333333333333,0.0009701813499814619,0.85,4.9,5.04661635229734
1.5,3.316,0.01426,0.0009750555539728663,0.85,4.9,5.0606691295546105
1.5,3.6129,0.014096666666666667,0.00095042875315029,0.85,4.9,5.074806625439889
1.5,3.9122,0.013055555555555555,0.0009642946632284471,0.85,4.9,5.089018650326528
1.5,4.2141,0.015217777777777778,0.000922261043359615,0.85,4.9,5.103314038579574
1.5,4.5186,0.010755555555555555,0.0008724536140345658,0.85,4.9,5.11769209161561
1.5,4.8256,0.007987777777777778,0.0009137340294326407,0.85,4.9,5.132147412722264
1.5,5.107,0.010514444444444444,0.0008176335923615324,0.85,4.9,5.145361666923011
1.5,5.4191,0.008707777777777778,0.0007771306831964828,0.85,4.9,5.159977981842788
1.5,5.7052,0.008367777777777778,0.0008134691750554732,0.85,4.9,5.173340382235563
1.5,6.0224,0.008733333333333334,0.0007796912969364982,0.85,4.9,5.1881150882055
1.5,6.3132,0.009232222222222222,0.0007761594274310681,0.85,4.9,5.201623249108906
1.5,6.6062,0.007936666666666667,0.0006959911663977523,0.85,4.9,5.215198217671851
1.5,6.9016,0.006815555555555556,0.0007329072836449049,0.85,4.9,5.228848703541353
1.5,7.1993,0.006653333333333333,0.0007231925106134655,0.85,4.9,5.242569513921714
1.5,7.4993,0.006703333333333333,0.0007054838108754923,0.85,4.9,5.256360098103389
1.5,7.8018,0.006101111111111111,0.0006737833113229237,0.85,4.9,5.270229065863348
1.5,8.076,0.006404444444444444,0.0006880424907923946,0.85,4.9,5.28276907987247
