Q,omega,I,dI,Tr,Kf,Ki
1.5,-8.1008,0.0032288888888888888,0.0005543008052637569,0.85,4.9,4.483344938986866
1.5,-7.7819,0.004376666666666667,0.000540147442148215,0.85,4.9,4.500476614320652
1.5,-7.4975,0.0036144444444444444,0.0006058164575570011,0.85,4.9,4.515700082744904
1.5,-7.1908,0.004433333333333333,0.0005728163043406835,0.85,4.9,4.532059925933964
1.5,-6.8808,0.004034444444444444,0.0006488384683607248,0.85,4.9,4.548536001540468
1.5,-6.5871,0.004741111111111112,0.0005853636624218747,0.85,4.9,4.564090886049115
1.5,-6.281,0.004843333333333333,0.0005988291044165241,0.85,4.9,4.5802462792218455
1.5,-5.9811,0.004037777777777777,0.0006187342715297352,0.85,4.9,4.596019374288306
1.5,-5.6781,0.005297777777777777,0.0007818843967470787,0.85,4.9,4.611900728028728
1.5,-5.3719,0.005685555555555556,0.0006285855177192836,0.85,4.9,4.627894440188226
1.5,-5.0832,0.006381111111111111,0.0006308596917043313,0.85,4.9,4.64292361579656
1.5,-4.7708,0.006628888888888889,0.0006436738688052483,0.85,4.9,4.659131955435009
1.5,-4.4762,0.006207777777777777,0.0006819407671319725,0.85,4.9,4.674365282696719
1.5,-4.1786,0.008371111111111112,0.0007896662836326323,0.85,4.9,4.689703495716062
1.5,-3.8782,0.008286666666666666,0.0007188055936631834,0.85,4.9,4.70513531142946
1.5,-3.5747,0.009633333333333332,0.0007590100765446373,0.85,4.9,4.7206751472474675
1.5,-3.2901,0.009565555555555555,0.0007879987152963144,0.85,4.9,4.735200930408716
1.5,-2.9808,0.009625555555555556,0.0007868557525421302,0.85,4.9,4.7509370235278094
1.5,-2.6907,0.013145555555555556,0.0009628936584747374,0.85,4.9,4.76564906637727
1.5,-2.3753,0.017259999999999998,0.001057071426158138,0.85,4.9,4.7815928061288435
1.5,-2.0795,0.02570111111111111,0.0012746352661559286,0.85,4.9,4.7964975895999755
1.5,-1.781,0.032036666666666665,0.0013802589665764954,0.85,4.9,4.811491615685029
1.5,-1.4796,0.03741333333333333,0.0015460942427314732,0.85,4.9,4.826584051912739
1.5,-1.1754,0.06492111111111111,0.0020198255027918614,0.85,4.9,4.841768994079268
1.5,-0.8682,0.17817555555555556,0.003365276574035645,0.85,4.9,4.857055511068682
1.5,-0.5821,0.3873488888888889,0.004839031634582876,0.85,4.9,4.871248933791978
1.5,-0.2693,0.6737877777777778,0.006339640621508174,0.85,4.9,4.886719768873653
1.5,0.0222,0.7993633333333334,0.006910892904736748,0.85,4.9,4.901093162915267
1.5,0.3162,0.7178022222222223,0.006557181907489012,0.85,4.9,4.915547257097042
1.5,0.6128,0.48430222222222225,0.005397665247443267,0.85,4.9,4.93008623628058
1.5,0.9121,0.25043777777777776,0.0038127401766080244,0.85,4.9,4.944714231876889
1.5,1.2141,0.08658444444444445,0.0023068502388953116,0.85,4.9,4.959430456215934
1.5,1.5188,0.02933888888888889,0.001364760640163055,0.85,4.9,4.974234126226087
1.5,1.8263,0.015155555555555556,0.0009611438658516204,0.85,4.9,4.989129300234675
1.5,2.1106,0.012475555555555556,0.0009634762164958128,0.85,4.9,5.002861220700726
1.5,2.4234,0.011317777777777777,0.0008460029477811061,0.85,4.9,5.017926296601242
1.5,2.7127,0.01106,0.0009021455906153212,0.85,4.9,5.03181941681772
1.5,3.031,0.009955555555555556,0.0008220825707229291,0.85,4.9,5.047061024480138
1.5,3.3254,0.011148888888888889,0.0008819828950498382,0.85,4.9,5.061117334986695
1.5,3.6222,0.012485555555555557,0.0009021134307698276,0.85,4.9,5.075248827708863
1.5,3.9216,0.009444444444444443,0.0008539595503185422,0.85,4.9,5.089464359148912
1.5,4.2235,0.00882888888888889,0.0007040079264424708,0.85,4.9,5.1037584989925975
1.5,4.5279,0.007866666666666666,0.0007750364388088353,0.85,4.9,5.118130588616957
1.5,4.835,0.007654444444444445,0.0009035437775917067,0.85,4.9,5.132589376288311
1.5,5.1164,0.008292222222222222,0.0007382871400983278,0.85,4.9,5.145802495541056
1.5,5.4285,0.008096666666666667,0.0007549711792389704,0.85,4.9,5.160417561862428
1.5,5.7145,0.006201111111111111,0.0007357728782681935,0.85,4.9,5.173774162835173
1.5,6.0317,0.0067888888888888894,0.0007070317016658403,0.85,4.9,5.188547633588532
1.5,6.3225,0.007898888888888888,0.0007268764562950498,0.85,4.9,5.202054671302665
1.5,6.6155,0.006158888888888889,0.0006209978032207024,0.85,4.9,5.215628516982326
1.5,6.9109,0.00726,0.0007495628355544614,0.85,4.9,5.229277879600364
1.5,7.2086,0.00582,0.000690442692126661,0.85,4.9,5.242997566836451
1.5,7.5087,0.0055922222222222215,0.000660287068134519,0.85,4.9,5.256791618526388
1.5,7.8111,0.004823333333333333,0.0006188669455515428,0.85,4.9,5.27065487242548
1.5,8.0854,0.005182222222222223,0.0006367897883665387,0.85,4.9,5.283198443266391
