Q,omega,I,dI,Tr,Kf,Ki
0.5,-10.495,0.0031800000000000005,0.0007887965517166007,0.85,5.8,5.345548621431332
0.5,-9.9807,0.0036799999999999997,0.0007533923280734945,0.85,5.8,5.368715132031321
0.5,-9.4902,0.0038599999999999997,0.0006832276341015488,0.85,5.8,5.390716825075825
0.5,-8.9934,0.00327,0.0006040695324215583,0.85,5.8,5.412909949485062
0.5,-8.4901,0.00333,0.0006025777958073131,0.85,5.8,5.43530103972051
0.5,-7.9804,0.0048,0.0006318227599572526,0.85,5.8,5.457883237986026
0.5,-7.4965,0.0050799999999999994,0.0005134199061197374,0.85,5.8,5.479236247739681
0.5,-6.9738,0.00477,0.0006838859554048467,0.85,5.8,5.502208282298462
0.5,-6.4775,0.004869999999999999,0.000604400529450463,0.85,5.8,5.523931652749835
0.5,-5.9751,0.00511,0.0006402343321003646,0.85,5.8,5.545835357841605
0.5,-5.5006,0.0069299999999999995,0.0005967411499134277,0.85,5.8,5.566443532064787
0.5,-4.986,0.00703,0.000740337760755184,0.85,5.8,5.588707407518683
0.5,-4.5,0.00679,0.0006809552114493287,0.85,5.8,5.609652788766719
0.5,-3.9729,0.007030000000000001,0.0007667463726683029,0.85,5.8,5.632281426494318
0.5,-3.4749,0.0077599999999999995,0.0008994442728707543,0.85,5.8,5.653577579356471
0.5,-2.9711,0.0096,0.0009370165420097983,0.85,5.8,5.675040442814105
0.5,-2.4979,0.015049999999999997,0.0010670051546267244,0.85,5.8,5.695126021374836
0.5,-1.9825,0.02727,0.0014484819639885062,0.85,5.8,5.716922545174349
0.5,-1.4984,0.059609999999999996,0.0020748252938500625,0.85,5.8,5.737319960645979
0.5,-0.971,0.13184,0.0031004515800121765,0.85,5.8,5.759459590440239
0.5,-0.4756,0.20931,0.003765780131659309,0.85,5.8,5.780178659631022
0.5,0.0254,0.24020000000000002,0.0038758482942447578,0.85,5.8,5.801056677843229
0.5,0.532,0.20982,0.003620441961970942,0.85,5.8,5.8220919351038205
0.5,1.0047,0.1365,0.002952795285826635,0.85,5.8,5.841651270141428
0.5,1.5223,0.06656,0.002136492452596077,0.85,5.8,5.8629936309755255
0.5,2.0054,0.02755,0.0013428700607281405,0.85,5.8,5.882843584434443
0.5,2.5345,0.011779999999999999,0.0009862048468751306,0.85,5.8,5.904507052931712
0.5,3.0283,0.00947,0.0007715568676384132,0.85,5.8,5.9246537373481
0.5,3.5273,0.009349999999999999,0.0007916438593205911,0.85,5.8,5.944943221535781
0.5,4.0316,0.00942,0.0007699350621968062,0.85,5.8,5.965378093606374
0.5,4.4987,0.00833,0.0007304108432930059,0.85,5.8,5.984243325756985
0.5,5.0134,0.00679,0.0008475258108164022,0.85,5.8,6.004962392486695
0.5,5.5336,0.00978,0.0008036168241145776,0.85,5.8,6.02583047432664
0.5,6.0155,0.009649999999999999,0.0008010617953691213,0.85,5.8,6.045097855444113
0.5,6.5021,0.0077800000000000005,0.0007652450587883596,0.85,5.8,6.064491040335067
0.5,7.0385,0.00848,0.0008295782060782455,0.85,5.8,6.085797368674916
0.5,7.5354,0.007550000000000001,0.0007850477692471967,0.85,5.8,6.105468377428019
0.5,8.0372,0.00688,0.000836540495134575,0.85,5.8,6.125269255066495
0.5,8.4978,0.00683,0.0008350449089719666,0.85,5.8,6.143388217521124
0.5,9.0093,0.00682,0.0008610458756651703,0.85,5.8,6.163447051489542
0.5,9.526,0.0084,0.0008522910301065007,0.85,5.8,6.183643743967778
0.5,10.0003,0.008969999999999999,0.0007551820972454259,0.85,5.8,6.202125217007733
0.5,10.5271,0.00676,0.0009004443347592342,0.85,5.8,6.222588053035909
0.5,11.0107,0.00706,0.0009924716620639605,0.85,5.8,6.241313780805143
0.5,11.4988,0.006849999999999999,0.0010481889142707054,0.85,5.8,6.260156957995594
0.7,-15.0154,0.00165,0.0005796550698475776,0.85,5.8,5.137436033788222
0.7,-14.4804,0.00212,0.0005915234568468101,0.85,5.8,5.1625043695664745
0.7,-13.9919,0.002915,0.0005085518655948477,0.85,5.8,5.18528801924852
0.7,-13.4965,0.002695,0.0004410498838000074,0.85,5.8,5.208291697466846
0.7,-12.9943,0.002545,0.00043246387132337425,0.85,5.8,5.231507889097391
0.7,-12.5134,0.002315,0.0003906084996515052,0.85,5.8,5.253643245312488
0.7,-11.9974,0.00335,0.0004391469002509297,0.85,5.8,5.27729096316896
0.7,-11.474,0.0033,0.0004909684307570091,0.85,5.8,5.301170047080513
0.7,-11.0025,0.0029,0.0004423799272118933,0.85,5.8,5.322589574982941
0.7,-10.495,0.004485,0.0004879805323985783,0.85,5.8,5.345548621431332
0.7,-9.9807,0.0038749999999999995,0.000525808900647374,0.85,5.8,5.368715132031321
0.7,-9.4902,0.00348,0.00047148700936505136,0.85,5.8,5.390716825075825
0.7,-8.9934,0.004050000000000001,0.00047733635939450496,0.85,5.8,5.412909949485062
0.7,-8.4901,0.0034349999999999997,0.00045932014978661674,0.85,5.8,5.43530103972051
0.7,-7.9804,0.00427,0.0005163332257370235,0.85,5.8,5.457883237986026
0.7,-7.4965,0.00444,0.0005021453972705515,0.85,5.8,5.479236247739681
0.7,-6.9738,0.005255,0.0005517019122678478,0.85,5.8,5.502208282298462
0.7,-6.4775,0.00546,0.0005647123161398199,0.85,5.8,5.523931652749835
0.7,-5.9751,0.00645,0.000589788097540125,0.85,5.8,5.545835357841605
0.7,-5.5006,0.0053300000000000005,0.0005610704055642215,0.85,5.8,5.566443532064787
0.7,-4.986,0.007265000000000001,0.0006325148219607189,0.85,5.8,5.588707407518683
0.7,-4.5,0.00687,0.0006297618597533515,0.85,5.8,5.609652788766719
0.7,-3.9729,0.007095,0.0006632307290830243,0.85,5.8,5.632281426494318
0.7,-3.4749,0.008495,0.0007315907325820906,0.85,5.8,5.653577579356471
0.7,-2.9711,0.010525,0.0007803685026960019,0.85,5.8,5.675040442814105
0.7,-2.4979,0.013470000000000001,0.0009033271832508971,0.85,5.8,5.695126021374836
0.7,-1.9825,0.026875000000000003,0.0012617151025489074,0.85,5.8,5.716922545174349
0.7,-1.4984,0.062215,0.0018888819444316787,0.85,5.8,5.737319960645979
0.7,-0.971,0.13800500000000002,0.002846291446777719,0.85,5.8,5.759459590440239
0.7,-0.4756,0.214025,0.003534384670632216,0.85,5.8,5.780178659631022
0.7,0.0254,0.245745,0.0037676285644951788,0.85,5.8,5.801056677843229
0.7,0.532,0.21089500000000003,0.0034833353269531774,0.85,5.8,5.8220919351038205
0.7,1.0047,0.13672499999999999,0.0027925391671380366,0.85,5.8,5.841651270141428
0.7,1.5223,0.063765,0.001925986760079103,0.85,5.8,5.8629936309755255
0.7,2.0054,0.0271,0.0012433020550131815,0.85,5.8,5.882843584434443
0.7,2.5345,0.01158,0.0008078675634038045,0.85,5.8,5.904507052931712
0.7,3.0283,0.010530000000000001,0.0007746934877743584,0.85,5.8,5.9246537373481
0.7,3.5273,0.009865,0.0007452684080249209,0.85,5.8,5.944943221535781
0.7,4.0316,0.00876,0.0006956292115775472,0.85,5.8,5.965378093606374
0.7,4.4987,0.009085,0.0007376821808882196,0.85,5.8,5.984243325756985
