Q,omega,I,dI,Tr,Kf,Ki
0.5,6.5021,0.008863333333333332,0.0008333044439436863,0.85,5.8,6.064491040335067
0.5,7.0385,0.008946666666666665,0.0008763645444761071,0.85,5.8,6.085797368674916
0.5,7.5354,0.008133333333333334,0.0008350559972352265,0.85,5.8,6.105468377428019
0.5,8.0372,0.007452222222222222,0.0008829754690886637,0.85,5.8,6.125269255066495
0.5,8.4978,0.00834111111111111,0.0009105099642847016,0.85,5.8,6.143388217521124
0.5,9.0093,0.006803333333333333,0.0008886173196268126,0.85,5.8,6.163447051489542
0.5,9.526,0.008827777777777778,0.0008971553122625913,0.85,5.8,6.183643743967778
0.5,10.0003,0.00737,0.0007312622268683405,0.85,5.8,6.202125217007733
0.5,10.5271,0.0061600000000000005,0.0009099572639537651,0.85,5.8,6.222588053035909
0.5,11.0107,0.0064155555555555546,0.0010029278127217651,0.85,5.8,6.241313780805143
0.5,11.4988,0.007533333333333334,0.0010935399533760209,0.85,5.8,6.260156957995594
0.7,-15.0154,0.0024444444444444444,0.000632782411455086,0.85,5.8,5.137436033788222
0.7,-14.4804,0.0025644444444444443,0.0006299314091604844,0.85,5.8,5.1625043695664745
0.7,-13.9919,0.0035038888888888893,0.0005589742037820951,0.85,5.8,5.18528801924852
0.7,-13.4965,0.0036561111111111113,0.0005151893455113324,0.85,5.8,5.208291697466846
0.7,-12.9943,0.004600555555555556,0.0005638166346702305,0.85,5.8,5.231507889097391
0.7,-12.485,0.0047150000000000004,0.0005480445034646163,0.85,5.8,5.25494755371482
0.7,-11.9974,0.0048000000000000004,0.0005414127610038184,0.85,5.8,5.27729096316896
0.7,-11.474,0.004511111111111112,0.0005744568019302674,0.85,5.8,5.301170047080513
0.7,-11.0025,0.0047666666666666664,0.0005636816805937878,0.85,5.8,5.322589574982941
0.7,-10.495,0.005329444444444445,0.0005573097305829759,0.85,5.8,5.345548621431332
0.7,-9.9807,0.004208333333333334,0.0005656796960458441,0.85,5.8,5.368715132031321
0.7,-9.4902,0.0049633333333333335,0.0005710484185218415,0.85,5.8,5.390716825075825
0.7,-8.9934,0.004911111111111112,0.0005470837388224499,0.85,5.8,5.412909949485062
0.7,-8.4901,0.006462777777777777,0.0006324699280412811,0.85,5.8,5.43530103972051
0.7,-7.9804,0.005514444444444444,0.00060153712568739,0.85,5.8,5.457883237986026
0.7,-7.4965,0.0061288888888888894,0.000609990386485671,0.85,5.8,5.479236247739681
0.7,-6.9738,0.007266111111111111,0.0006687409858628672,0.85,5.8,5.502208282298462
0.7,-6.4775,0.0074377777777777775,0.0006789688987222454,0.85,5.8,5.523931652749835
0.7,-5.9751,0.007522222222222223,0.000666605089748805,0.85,5.8,5.545835357841605
0.7,-5.5006,0.007074444444444445,0.0006658680401653021,0.85,5.8,5.566443532064787
0.7,-4.986,0.007492777777777778,0.0006742950136491436,0.85,5.8,5.588707407518683
0.7,-4.5,0.007958888888888889,0.0007054426856350906,0.85,5.8,5.609652788766719
0.7,-3.9729,0.008345,0.0007432193485102498,0.85,5.8,5.632281426494318
0.7,-3.4749,0.010867222222222223,0.0008479148352878575,0.85,5.8,5.653577579356471
0.7,-2.9711,0.014097222222222221,0.0009324034719840447,0.85,5.8,5.675040442814105
0.7,-2.4979,0.016975555555555553,0.0010447901319179302,0.85,5.8,5.695126021374836
0.7,-1.9825,0.02701388888888889,0.0013264099183905925,0.85,5.8,5.716922545174349
0.7,-1.4984,0.06178722222222222,0.0019770765766968807,0.85,5.8,5.737319960645979
0.7,-0.971,0.13022722222222224,0.0029130641773284995,0.85,5.8,5.759459590440239
0.7,-0.4756,0.20595277777777776,0.003647803964775533,0.85,5.8,5.780178659631022
0.7,0.0254,0.2432394444444444,0.003937003192252004,0.85,5.8,5.801056677843229
0.7,0.532,0.21458944444444447,0.003684612858032747,0.85,5.8,5.8220919351038205
0.7,1.0047,0.14554722222222222,0.003014604932861779,0.85,5.8,5.841651270141428
0.7,1.5223,0.0715038888888889,0.002124899198771149,0.85,5.8,5.8629936309755255
0.7,2.0054,0.033772222222222224,0.0014405173110576595,0.85,5.8,5.882843584434443
0.7,2.5345,0.016318888888888886,0.0009916761593071963,0.85,5.8,5.904507052931712
0.7,3.0283,0.013596666666666667,0.0009122428607761405,0.85,5.8,5.9246537373481
0.7,3.5273,0.011626111111111111,0.0008430685062157402,0.85,5.8,5.944943221535781
0.7,4.0316,0.011604444444444445,0.0008321539802906552,0.85,5.8,5.965378093606374
0.7,4.4987,0.010062777777777778,0.0008080472957066099,0.85,5.8,5.984243325756985
